genotype,environment,yield_1_0,yield_0_8,yield_0_5,yield_0_3
16511,Dalby_Dry,155.0196879,158.9004179,140.2348907,139.9984718
16511,Dalby_Wet,526.5143168,522.8975129,549.2151609,543.3539782
16511,Emerald_Dry,98.80743579,90.022997,136.8224626,103.9126999
16511,Emerald_Wet,537.1311737,531.6157706,515.4793802,651.0355078
16512,Dalby_Dry,166.4818761,183.8986012,180.8164501,129.8226811
16512,Dalby_Wet,514.3268921,505.3493087,495.0724329,454.2061847
16512,Emerald_Dry,106.238695,111.5421933,114.0752202,69.52145132
16512,Emerald_Wet,542.322128,539.86214,565.5631746,495.1420972
16513,Dalby_Dry,138.8834682,128.8483131,149.781366,153.2163637
16513,Dalby_Wet,491.7896338,491.7131609,478.1411436,469.4982645
16513,Emerald_Dry,103.8151404,117.6161395,133.276264,159.2041957
16513,Emerald_Wet,521.4769587,517.7779186,492.4813842,580.856893
16514,Dalby_Dry,154.9629475,136.6485707,141.9964697,218.4464496
16514,Dalby_Wet,521.479406,526.7344045,528.4279093,500.2501581
16514,Emerald_Dry,100.5074976,128.0462097,106.7372057,115.0934254
16514,Emerald_Wet,529.5658198,507.0171148,546.6371872,492.4962452
16515,Dalby_Dry,171.1098812,167.9814942,186.638125,186.72936
16515,Dalby_Wet,521.7145511,531.1675332,500.3298689,527.3798286
16515,Emerald_Dry,104.5377092,100.780672,53.52170507,100.7719759
16515,Emerald_Wet,557.7827735,550.0267718,564.7987987,551.7369496
16516,Dalby_Dry,197.9507957,213.1590787,203.6904478,241.8772731
16516,Dalby_Wet,540.3816358,513.9082591,535.3188115,500.698573
16516,Emerald_Dry,116.5020552,93.05584658,105.9179211,142.9089906
16516,Emerald_Wet,564.612428,584.6363113,584.6076622,652.2303281
16517,Dalby_Dry,253.7093017,250.7208279,210.5472429,184.9243031
16517,Dalby_Wet,527.1630951,554.7163597,544.0384106,542.3400073
16517,Emerald_Dry,195.1190261,197.7054624,262.1579013,212.6582002
16517,Emerald_Wet,497.210694,487.2110046,495.4913044,505.4766531
16518,Dalby_Dry,155.0068832,144.1425865,163.7870159,190.4101091
16518,Dalby_Wet,523.5564816,545.2756544,557.9875707,527.4949465
16518,Emerald_Dry,98.74554275,93.71304557,126.394869,56.05744588
16518,Emerald_Wet,531.1272535,536.0056475,521.5384622,549.2787415
16519,Dalby_Dry,155.9728365,152.5093386,126.1747166,127.1066337
16519,Dalby_Wet,499.8844748,502.7122649,493.1648514,544.4070709
16519,Emerald_Dry,103.4005844,70.85727842,66.08349414,182.2344
16519,Emerald_Wet,526.6026003,528.7298707,489.0539335,529.10487
16520,Dalby_Dry,212.6761924,195.8647318,211.3638367,246.0967659
16520,Dalby_Wet,544.6423515,555.524417,565.9737366,439.2669685
16520,Emerald_Dry,135.5688642,154.2618563,149.0608941,87.99320671
16520,Emerald_Wet,562.3602492,546.0823062,587.6254049,524.1694269
16521,Dalby_Dry,199.8320569,215.9201053,157.8801428,270.2071256
16521,Dalby_Wet,535.9187944,558.0143798,535.6550336,512.5696056
16521,Emerald_Dry,118.6939313,137.2632597,145.3697098,120.599827
16521,Emerald_Wet,559.4481712,536.6340452,579.6814854,555.0911819
16522,Dalby_Dry,191.8948583,199.0152437,204.5883848,232.8855621
16522,Dalby_Wet,528.6126145,538.7120642,511.577004,481.0944083
16522,Emerald_Dry,114.3069797,119.0234635,176.515656,86.9706007
16522,Emerald_Wet,547.323579,564.0635525,578.4762693,589.0206931
16523,Dalby_Dry,253.7846233,260.9850704,239.096044,263.762363
16523,Dalby_Wet,529.0847455,544.5194534,536.0734997,507.3155961
16523,Emerald_Dry,195.0475079,168.4910052,229.5412047,152.871782
16523,Emerald_Wet,496.5476741,482.7663975,454.370527,486.8629451
16524,Dalby_Dry,231.6433884,246.9586349,245.1961188,200.5574677
16524,Dalby_Wet,542.4579091,534.75747,540.3446084,539.6505011
16524,Emerald_Dry,155.8546439,127.2082321,131.8611133,141.9866225
16524,Emerald_Wet,539.4463065,530.7064521,541.360075,410.1010025
16525,Dalby_Dry,192.9949032,171.3378914,150.2195256,180.8654689
16525,Dalby_Wet,526.5912371,532.769381,594.4912343,594.4501299
16525,Emerald_Dry,115.471847,137.1176299,61.58581925,17.11959873
16525,Emerald_Wet,548.6724754,554.4520029,508.2591519,547.4190636
16526,Dalby_Dry,199.3327786,218.4525574,184.3056885,160.0424243
16526,Dalby_Wet,525.3187793,508.5439936,539.7055133,397.2305292
16526,Emerald_Dry,120.4746929,120.3931733,80.33382337,124.0550137
16526,Emerald_Wet,536.0615907,549.4217186,537.7344382,525.4693064
16527,Dalby_Dry,171.6855833,165.4056999,195.2180728,234.94194
16527,Dalby_Wet,526.3086599,520.2546252,531.7312777,528.2736641
16527,Emerald_Dry,101.5401563,90.56780334,116.9298429,102.6528597
16527,Emerald_Wet,565.4752519,561.3464724,593.400558,559.0778782
16528,Dalby_Dry,199.0582585,174.9360188,177.9451076,299.5398048
16528,Dalby_Wet,537.5337445,535.3838022,488.3493115,635.5339164
16528,Emerald_Dry,125.1883206,146.2797966,85.59618696,177.3139755
16528,Emerald_Wet,560.3836426,558.3151026,573.5956986,616.0559335
16529,Dalby_Dry,171.3336362,188.8336032,140.7771815,225.2256844
16529,Dalby_Wet,532.6121328,549.1383178,519.0500234,456.8602302
16529,Emerald_Dry,103.0266782,99.39370157,119.9871207,24.21201449
16529,Emerald_Wet,544.6924396,543.9677491,572.9264388,561.8685386
16530,Dalby_Dry,221.4996909,240.1684302,190.555676,183.8779047
16530,Dalby_Wet,542.6427371,522.531598,571.2750084,524.8867405
16530,Emerald_Dry,140.0926626,132.3097818,96.03201375,183.1236885
16530,Emerald_Wet,554.498428,539.4764596,497.8800943,528.9162304
16531,Dalby_Dry,143.5819668,143.7763052,203.6315702,70.12368121
16531,Dalby_Wet,508.2903134,516.8797236,517.3685552,572.8572444
16531,Emerald_Dry,104.6601757,119.5975481,110.8534211,146.2049615
16531,Emerald_Wet,522.1600184,537.1385307,553.9369294,605.2687148
16532,Dalby_Dry,161.1071844,138.1597701,178.3477178,96.51985127
16532,Dalby_Wet,516.2920824,526.6237079,502.0030981,524.2678517
16532,Emerald_Dry,101.485646,96.14300931,53.64552316,144.8898201
16532,Emerald_Wet,543.0984773,529.9111692,609.6980118,556.5160151
16533,Dalby_Dry,199.2771261,198.1541194,210.3470683,242.0047899
16533,Dalby_Wet,522.8702558,521.8893548,492.3852072,450.8141632
16533,Emerald_Dry,119.9198766,130.6142332,132.573884,91.18771979
16533,Emerald_Wet,540.0463293,563.2760101,541.6453477,598.9473899
16534,Dalby_Dry,133.1764317,119.5406306,221.3263115,104.4170055
16534,Dalby_Wet,480.9729411,468.6182404,486.3897516,480.61527
16534,Emerald_Dry,102.7444716,81.26749814,63.13297859,41.49976216
16534,Emerald_Wet,503.7530991,506.0533282,478.917504,527.0359863
16535,Dalby_Dry,192.493146,167.2077439,200.1253671,187.2947977
16535,Dalby_Wet,529.4154746,543.2216546,542.9242203,579.1319278
16535,Emerald_Dry,110.7219182,96.33093838,68.08322923,113.3263124
16535,Emerald_Wet,550.4068699,567.5017746,582.4670555,518.1652076
16536,Dalby_Dry,181.7398817,188.3770885,200.1149091,157.0318238
16536,Dalby_Wet,526.2341649,495.1058349,507.8815369,543.3423318
16536,Emerald_Dry,113.7905168,104.9924924,134.6706,77.84958437
16536,Emerald_Wet,535.5997663,553.6606686,557.1489377,605.5673134
16537,Dalby_Dry,237.0630964,213.3588429,188.832846,181.0986646
16537,Dalby_Wet,522.579613,526.9805977,500.9308103,520.0632124
16537,Emerald_Dry,165.4222083,156.2556391,138.4696776,116.5820903
16537,Emerald_Wet,500.6769293,495.0983989,502.8982911,580.3681976
16538,Dalby_Dry,212.6847549,217.2609482,265.2081931,148.6391214
16538,Dalby_Wet,538.3777524,522.2454181,531.9413226,496.5220866
16538,Emerald_Dry,128.435884,147.5311668,193.1100913,182.4390615
16538,Emerald_Wet,569.9396158,567.4327944,549.905252,613.4062693
16539,Dalby_Dry,139.1030415,108.064429,135.3539455,65.73009373
16539,Dalby_Wet,492.200354,508.3304414,467.160834,517.246669
16539,Emerald_Dry,105.0767661,123.2465351,141.1805345,116.1662057
16539,Emerald_Wet,520.8070792,537.343872,525.3967487,543.6771862
16540,Dalby_Dry,161.1327554,127.8326845,155.6976755,148.7236667
16540,Dalby_Wet,518.5403158,527.2516618,530.3566042,586.2073926
16540,Emerald_Dry,99.83346338,92.03175773,100.1991063,81.09339194
